"Transfer_Value","Comp","Nation","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","Subs_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","player_position","Comp_going","Comp_from_to","gb_age","PC1_diff","PC2_diff","PC3_diff","PC4_diff","total_diff"
-1.1e+07,"Ligue 1","FRA",32.4,42,29,29,9,4,21,31,67.7,10,22,16,6,29,71,154,2,14,0.43,11,0,1,1,1,0,2,0.06,2,0,0,0,0,0,3,0,0,25,27,2,1,29,0,0,1,130,70,35,66.7,1179,1301,90.6,22102,6680,367,391,93.9,686,722,95,97,147,66,2,0.2,0.2,1.8,4,29,0,0,70,1301,1253,45,42,0,8,1,3,0,0,0,0,1179,3,3,1591,144,661,853,82,42,1591,7,7,100,0,0,918,4504,2468,10,7,1,13,5,1059,7,2,28,9,32.1,0.86,0.28,0.07,0.22,12.9,0,0,0,2.6,2.6,0.09,-0.6,-0.6,36,32,2919,32.4,2,4,2,0,0,0.2,2.7,10,70,7,0.06,0.06,0.12,0.06,0.12,0.08,0.01,0.08,0.08,0.08,36,2919,81,85.4,32.4,32,30,4,2,1.61,45,36,9,0.28,0.82,43.2,42.8,0.4,0.01,-0.01,"Centre-Back","La Liga","Ligue 1_La Liga","0",3.93517550806532,-1.16374023893369,-2.08807185824237,1.78038968918457,8.96737729442595
-1381379.73137973,"Premier League","NED",11,23,18,15,3,5,11,24,45.8,13,5,1,4,20,43,30,0,15,1.36,12,1,0,0,1,1,1,0.09,1,0,0,0,0,0,4,1,0,17,9,0,38,18,0,0,0,63,12,8,60,436,584,74.7,6677,3045,259,297,87.2,140,193,72.5,28,55,50.9,1,1,0.8,0,7,39,10,7,54,584,453,131,6,1,2,38,124,1,0,1,0,436,0,27,683,35,181,317,191,12,683,20,15,75,5,25,327,1608,813,30,11,2,11,10,347,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,994,11,0,1,0,0,0,1,1,30,54,44,0,0.09,0.09,0,0.09,0,0.09,0.09,0,0.09,12,994,83,29.1,11,12,10,0,5,1.17,18,17,1,0.09,0.87,14.2,13.9,0.3,0.03,0.29,"Left-Back","Serie A","Premier League_Serie A","0",-1.90740832983011,-1.7470017713008,1.69265310534543,1.94856737607303,7.29563058254937
-4175000,"Bundesliga","FRA",7.8,11,5,1,9,1,7,17,41.2,10,5,1,4,9,20,10,0,28,3.58,26,1,0,1,0,0,5,0.64,5,0,0,0,0,0,0,0,0,13,6,3,6,5,0,0,0,59,12,15,44.4,477,550,86.7,8079,2859,232,253,91.7,181,199,91,52,67,77.6,1,1.9,2.2,-0.9,16,72,6,0,97,550,537,12,10,7,5,6,2,0,0,0,0,477,1,7,630,19,90,410,131,18,630,2,1,50,1,50,369,1788,888,10,11,1,12,3,474,26,2,17,3,17.6,2.18,0.38,0.12,0.67,19.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1,15,8,703,7.8,2,3,2,0,0,1.9,4,10,97,26,0.26,0.13,0.38,0.26,0.38,0.27,0.25,0.51,0.27,0.51,15,703,47,23,7.8,8,2,7,4,2.67,25,9,16,2.05,0.37,24.5,8.2,16.3,2.09,0.7,"Central Midfield","Ligue 1","Bundesliga_Ligue 1","0",-3.32867679914335,2.15527286908676,4.25321135511569,0.349110551790057,10.0862715751359
-4285714.28571428,"Serie A","SUI",6.6,11,7,3,6,2,3,11,27.3,8,16,3,13,11,22,7,0,9,1.36,5,0,1,2,1,0,1,0.15,1,0,0,0,0,0,1,0,0,11,4,0,5,7,0,0,0,27,2,8,20,129,168,76.8,2066,760,64,74,86.5,51,58,87.9,11,16,68.8,1,0.1,0.3,0.9,3,14,3,0,14,168,167,0,0,0,0,5,0,0,0,0,0,129,1,12,237,10,62,111,68,15,237,5,2,40,3,60,114,593,289,8,9,0,11,7,136,17,1,9,4,44.4,1.36,0.6,0.11,0.25,17.8,0,0,0,1.5,1.5,0.16,-0.5,-0.5,9,6,597,6.6,1,2,1,0,0,0.1,1.6,8,14,17,0.15,0.15,0.3,0.15,0.3,0.22,0.02,0.24,0.22,0.24,9,597,66,17.5,6.6,6,4,3,1,1.89,11,7,4,0.6,0.09,9.3,7,2.3,0.35,0,"Defensive Midfield","Bundesliga","Serie A_Bundesliga","0",3.00414668952302,1.03859000365784,3.37659182042209,-2.01610818245964,9.4354366960626
-5137952.95613477,"Serie A","ESP",15.1,7,3,2,3,2,2,10,20,8,5,0,5,8,15,3,0,87,5.76,63,13,5,2,4,0,5,0.33,4,0,1,0,0,0,2,0,0,10,28,2,102,3,0,0,0,59,0,2,0,564,754,74.8,9691,2564,288,326,88.3,202,268,75.4,60,118,50.8,2,4.5,4.4,-2.5,41,46,50,12,96,754,687,67,19,6,24,102,4,36,22,3,0,564,0,17,876,2,62,309,515,39,876,47,25,53.2,22,46.8,661,3629,1745,49,39,22,17,23,694,148,1,31,12,38.7,2.05,0.79,0.03,0.08,24.8,2,0,0,1.1,1.1,0.04,-0.1,-0.1,16,15,1359,15.1,1,3,1,0,0,4.5,5.6,49,96,148,0.07,0.13,0.2,0.07,0.2,0.07,0.3,0.37,0.07,0.37,16,1359,85,39.7,15.1,15,12,1,4,1.31,13,21,-8,-0.53,-1.62,21.4,18.6,2.7,0.18,-0.47,"Right Winger","La Liga","Serie A_La Liga","0",-1.24853959185377,-0.480387249115213,-2.16678310522398,4.60784657488984,8.5035565210828
-1800000,"Serie A","ITA",5.9,12,9,7,3,2,6,9,66.7,3,5,3,2,6,18,16,0,8,1.36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,5,9,0,0,0,33,3,13,18.8,340,382,89,5636,2031,143,149,96,171,189,90.5,15,28,53.6,0,0.1,0.1,-0.1,2,24,2,1,31,382,366,15,8,0,1,5,7,0,0,0,0,340,1,1,429,43,156,257,19,0,429,1,0,0,1,100,312,1954,1319,13,4,0,0,2,312,3,0,1,0,0,0.17,0,0,0,29.1,0,0,0,0,0,0.02,0,0,9,5,529,5.9,0,0,0,0,0,0.1,0.1,13,31,3,0,0,0,0,0,0,0.01,0.01,0,0.01,9,529,59,15.5,5.9,5,4,4,29,1.44,4,8,-4,-0.68,-1.15,8.2,6.8,1.4,0.24,-0.24,"Centre-Back","Serie A","Serie A_Serie A","0",-11.8629007887335,-1.57211396033687,4.23756000421046,1.23969567454341,18.9122704278242
-5769230.76923077,"Serie A","SRB",13.4,18,9,11,6,1,9,18,50,9,15,6,9,21,39,49,3,11,0.82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,6,0,2,9,0,0,1,71,35,11,76.1,886,963,92,17592,6229,277,298,93,505,528,95.6,101,125,80.8,0,0.1,0.1,-0.1,3,33,0,0,40,963,925,38,25,0,8,2,1,0,0,0,0,886,0,4,1095,151,580,500,22,11,1095,3,3,100,0,0,650,3587,1827,10,4,0,5,3,791,3,0,5,1,20,0.37,0.07,0,0,8.3,0,0,0,0.6,0.6,0.12,-0.6,-0.6,17,12,1207,13.4,0,0,0,0,0,0.1,0.7,10,40,3,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,17,1207,71,35.3,13.4,12,9,5,17,1.88,28,20,8,0.6,-0.91,23.5,17.3,6.3,0.47,-0.3,"Centre-Back","Serie A","Serie A_Serie A","0",-10.5123663748056,2.7641720207599,2.10383330062185,-2.34081753494788,17.7211892311353
-1378461.53846154,"Serie A","ARG",10.9,19,13,7,11,1,10,22,45.5,12,8,0,8,17,36,22,0,46,4.24,28,15,2,1,0,0,3,0.28,3,0,0,0,0,0,7,1,0,20,10,0,51,13,0,1,0,75,4,3,57.1,681,778,87.5,12988,4913,263,280,93.9,316,339,93.2,92,140,65.7,0,1.9,2.5,-1.9,21,65,12,2,72,778,679,98,51,3,4,51,4,43,24,17,0,681,1,4,868,41,216,494,161,4,868,6,4,66.7,1,16.7,473,1989,1029,11,10,2,5,4,587,11,1,16,2,12.5,1.47,0.18,0.06,0.5,26.6,4,0,0,0.6,0.6,0.04,0.4,0.4,25,8,977,10.9,1,1,1,0,0,1.9,2.5,11,72,11,0.09,0,0.09,0.09,0.09,0.06,0.18,0.23,0.06,0.23,25,977,39,28.6,10.9,8,3,17,4,1.68,15,12,3,0.28,-0.46,17.4,15.4,2,0.19,-0.24,"Defensive Midfield","Ligue 1","Serie A_Ligue 1","0",0.960852180103768,-2.13320300405242,0.195005396412173,0.0557125210714509,3.34477310163981
-1562500,"Serie A","ITA",18.9,0,0,0,0,0,0,2,0,2,4,0,4,1,1,3,0,45,2.39,27,1,3,8,6,0,7,0.37,4,0,0,0,3,0,1,0,0,16,32,19,1,0,3,0,0,29,11,16,40.7,317,410,77.3,3815,691,203,241,84.2,79,97,81.4,4,9,44.4,5,2.1,1.7,2.9,16,13,11,0,29,410,361,49,0,2,0,1,1,0,0,0,0,317,0,15,533,4,28,245,262,95,530,14,6,42.9,8,57.1,261,922,367,12,7,11,37,12,437,128,11,40,16,40,2.12,0.85,0.2,0.5,14.2,0,3,3,9.9,7.6,0.19,1.1,0.4,25,19,1697,18.9,11,16,8,3,3,2.1,9.7,12,29,128,0.58,0.27,0.85,0.42,0.69,0.53,0.11,0.64,0.4,0.51,25,1697,68,49.6,18.9,19,11,6,1,1.52,36,30,6,0.32,0.21,30.6,28.6,2,0.11,0.05,"Centre-Forward","Serie A","Serie A_Serie A","0",-1.50717463546058,-0.671628499821555,-0.264505155298443,0.108558445376384,2.55186673595696
-1750000,"Serie A","ITA",14.9,41,28,21,15,5,23,46,50,23,18,9,9,10,51,58,0,31,2.08,26,3,1,0,0,1,4,0.27,3,0,0,0,0,1,3,0,0,21,15,0,44,28,0,0,1,88,29,24,54.7,683,877,77.9,11870,4144,315,358,88,301,375,80.3,53,104,51,1,0.7,0.8,0.3,14,39,14,9,64,877,729,147,17,1,7,44,130,0,0,0,0,683,1,16,1069,88,341,474,262,17,1069,17,13,76.5,4,23.5,539,2888,1670,34,30,2,18,11,608,58,1,13,3,23.1,0.87,0.2,0.08,0.33,14.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,21,14,1343,14.9,1,2,1,0,0,0.7,2.2,34,64,58,0.07,0.07,0.13,0.07,0.13,0.1,0.05,0.15,0.1,0.15,21,1343,64,39.3,14.9,14,12,7,5,0.9,20,26,-6,-0.4,-0.49,17,22.9,-5.8,-0.39,0.1,"Central Midfield","Serie A","Serie A_Serie A","0",-0.321223840188283,-0.239144955777393,-0.0600276839884705,-1.72109428629344,2.34149076624758
