"","PC1_diff","total_diff","PC3_diff","xGplus_per__minus__Team.Success..xG","PC2_diff","PC4_diff","G.A","CPA_Carries","PPM_Team.Success","xGplus_per__minus_90_Team.Success..xG","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","Att.Pen_Touches","np.G_minus_xG_Expected","On_minus_Off_Team.Success..xG","G_minus_xG_Expected","Att_Take","Att.3rd_Touches","PrgR_Progression","Succ_Take","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","PPA","SCA90_SCA","Cmp_percent_Total","Cmp_percent_Long","Cmp_percent_Medium","PrgC_Carries","On_minus_Off_Team.Success","A_minus_xAG_Expected","Dist_Standard","Nation","Cmp_percent_Short","GCA90_GCA","Fls","Recov","PassLive_SCA","Subs_Subs","Tkl_percent_Challenges","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_Medium","Att_Medium","Cmp_Long","Att_Long","Ast","xAG","xA_Expected","KP","Final_Third","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Live_Touches","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","Final_Third_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","unSub_Subs","onG_Team.Success","onGA_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","player_position","Comp_going","Comp_from_to"
"plus_per__minus__Team.Success",0,12888.0238398051,0,0,0,11610.0497722017,0,0,0,33606.0611351188,422881.89612761,31291.567455015,0,0,11537.1548924623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9599.62344913788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plus_per__minus_90_Team.Success",0,7023.08641152159,0,0,0,4757.09855859467,0,6527.86341996593,0,8723.78195731098,31291.567455015,192248.627314257,0,0,3557.85060197274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820.96479459386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.Pen_Touches",0,7014.70666046471,0,0,0,4910.16331138012,0,0,0,15163.1993422415,0,0,211934.336051314,108529.62617742,40127.1105428737,40007.3308497502,21670.1871516172,12444.8553268201,16167.4062360663,27094.8121680234,7621.59017972177,4507.41810010153,1368.63972163226,0,0,0,0,0,10955.3682233423,3850.11123184314,0,2861.1882757467,0,0,0,0,0,0,2098.99489354868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"np.G_minus_xG_Expected",0,0,0,0,0,2293.1671677619,0,42883.2836371635,0,0,0,0,108529.62617742,119040.448616837,10600.3863370512,0,0,7730.95230794626,5740.6582361258,0,0,6109.87421829488,0,0,0,0,0,0,0,2801.22509782943,0,0,0,0,2699.25323469735,0,0,0,4375.07677422308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On_minus_Off_Team.Success..xG",0,0,0,19418.4155314992,0,0,10416.1055637385,20683.900643283,7745.20352699825,25614.0118537503,11537.1548924623,3557.85060197274,40127.1105428737,10600.3863370512,164153.331143843,0,8227.03675067733,7285.34185767937,0,0,0,2963.48077762458,0,0,6650.75754114535,2374.81830012826,0,0,0,0,0,0,4233.7351688605,0,2925.64668139564,0,0,0,2089.81210016444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_minus_xG_Expected",0,0,0,0,0,0,0,19516.5338063077,0,0,0,0,40007.3308497502,0,0,102732.735179135,18721.315035324,7303.68519254018,11307.4467207496,8301.58371017256,3813.43008165755,5348.68534359839,4494.48410394231,13298.4759382849,4103.36400502906,2923.02487511359,3316.36775727244,4565.87711692374,0,4984.70125566721,8237.96765078611,0,12648.9083213848,0,4253.82323509855,0,3194.01555997258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att_Take",0,0,0,0,0,0,0,0,0,0,0,0,21670.1871516172,0,8227.03675067733,18721.315035324,132660.481558303,17290.0734593964,3569.32354165403,7195.10885834453,3694.63643886559,0,2733.2644873197,0,4720.85897062444,0,0,0,5791.94492722374,2778.2189992408,0,3053.04386032306,1606.69657319786,0,3538.02659535806,0,0,0,1327.86099089724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Att.3rd_Touches",0,2675.23555428134,0,0,0,4692.02587264547,0,0,9928.52049261081,8961.19971352026,0,0,12444.8553268201,7730.95230794626,7285.34185767937,7303.68519254018,17290.0734593964,147354.388386955,17082.5825444405,10526.1268848746,2875.58759167371,4297.73259635139,2884.33283458278,0,0,0,0,0,3972.29655599302,3415.77017105163,0,1814.15691459454,0,0,0,0,0,0,2333.66021585287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PrgR_Progression",0,0,0,0,0,0,15840.6317443222,10175.9884488028,0,0,0,0,16167.4062360663,5740.6582361258,0,11307.4467207496,3569.32354165403,17082.5825444405,61713.740616783,3845.63571168286,1847.66199498359,2497.68389790508,3336.19279443391,4554.09757609845,1752.0341799369,4876.956208423,6462.68049200261,3112.34375147851,0,1659.08905210393,3736.53922166641,0,2470.5285482542,0,3904.29424301164,0,1525.6029766505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_Take",0,0,0,0,0,0,0,0,0,0,0,0,27094.8121680234,0,0,8301.58371017256,7195.10885834453,10526.1268848746,3845.63571168286,126328.824219156,6190.74480188577,0,0,0,4070.7975690558,5536.38048273496,0,0,7440.08247126064,2269.79139500116,0,2825.04593232247,2893.28234357394,0,8185.09513974966,0,3380.71672094315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
