"Importance_fw","Rank_fw","Variable","Importance_mid","Rank_mid","Importance_df","Rank_df","Importance_tot","Rank_tot","Rank_Avg","Rank_Max","Rank_Min"
14.0196604691488,1,"PC4_diff",8.86458437982906,7,9.92922929871343,3,21.1318852638222,5,4,7,1
10.933725412222,2,"PC1_diff",18.5528578577322,1,8.74924981158743,6,25.1212154643344,1,2.5,6,1
10.7271452919548,3,"PC2_diff",13.9994942448451,2,11.5992012160319,1,23.0078232069099,4,2.5,4,1
10.6146396716972,4,"Succ_percent_Take",6.06257335075629,25,3.19593712426944,33,12.5213159890076,20,20.5,33,4
10.3705636468029,5,"total_diff",11.7587580005911,3,9.01046332769499,4,23.2817773831898,3,3.75,5,3
9.0872507063114,6,"PC3_diff",10.7144641317661,4,8.22205018353133,7,19.4918592499789,8,6.25,8,4
9.07754257144769,7,"Cmp_percent_Medium",7.4196572422052,15,5.68350746019064,14,13.7768821341949,17,13.25,17,7
8.77977579595076,8,"xGplus_per__minus__Team.Success..xG",7.68919565295842,12,8.75182227627431,5,24.0511439116649,2,6.75,12,2
8.24512588412835,9,"Cmp_percent_Short",7.73537503564377,11,5.7680317563448,13,15.7057172373264,13,11.5,13,9
8.18902632971725,10,"PPM_Team.Success",8.20418215483615,10,5.65994454669802,15,16.5703332909084,12,11.75,15,10
7.88388339891019,11,"Cmp_percent_Long",7.42588794174394,14,5.65129166163286,16,14.5187138528291,16,14.25,16,11
7.80718051463031,12,"Cmp_percent_Total",6.22397481298351,21,5.60520844467646,18,13.6225996181866,18,17.25,21,12
7.70630741859067,13,"Nation",8.64479340370783,9,5.61501181947038,17,15.3835689279812,14,13.25,17,9
7.60185970214493,14,"xGplus_per__minus_90_Team.Success..xG",9.12935487508401,6,7.82123673980956,10,19.6266153146862,7,9.25,14,6
6.88630363312739,15,"On_minus_Off_Team.Success..xG",6.96755484812549,18,7.8527888656787,8,18.2598138102887,9,12.5,18,8
6.65391790569255,16,"On_minus_Off_Team.Success",9.76308900447834,5,7.83000691396369,9,20.2040195678048,6,9,16,5
6.62523335342422,17,"Dist_Standard",6.3807754230921,19,5.28135786413786,21,14.7932037866048,15,18,21,15
5.90189367264067,18,"plus_per__minus_90_Team.Success",7.47017974242526,13,5.22951139854892,22,17.0389769200632,11,16,22,11
5.87541187685559,19,"SCA90_SCA",6.32524581522411,20,3.53186196060523,32,11.8140423449656,22,23.25,32,19
5.84857102805966,20,"Tkld_percent_Take",6.08747314970311,23,4.25126453653091,26,10.3920243805363,27,24,27,20
5.81634539061325,21,"Subs_Subs",5.17867665791796,31,2.54224226223471,46,9.37766896015047,34,33,46,21
5.78302959472745,22,"Sh_per_90_Standard",5.25920111100755,30,3.97616492509913,27,9.60946321388492,31,27.5,31,22
5.73202748749649,23,"SoT_percent_Standard",5.26324868572518,29,3.11941633987889,34,10.8076873376189,26,28,34,23
5.67342537991054,24,"Won_percent_Aerial",8.72028450946869,8,11.4601832457824,2,17.7584283648585,10,11,24,2
5.59204656557871,25,"A_minus_xAG_Expected",7.16777562898401,16,4.36125173004981,25,11.4454195796036,25,22.75,25,16
5.29862957160847,26,"Dead_Pass",6.06602996254263,24,2.58272639793132,44,10.057321068694,29,30.75,44,24
5.15883804206144,27,"Tkl_percent_Challenges",5.9496967078539,26,5.46443476096597,19,11.6830868599234,23,23.75,27,19
4.92272272884943,28,"GCA90_GCA",4.68252736966814,38,2.41078894744648,53,9.7679611385171,30,37.25,53,28
4.64835786786144,29,"xAG_Per",3.90694300043631,51,1.91889895025102,79,6.27113852665606,74,58.25,79,29
4.29916051664665,30,"G_minus_xG_Expected",4.0262821323867,49,2.39100171478206,54,8.98626854791979,36,42.25,54,30
4.27953148168931,31,"unSub_Subs",5.32906402493776,28,6.24758561401034,11,12.1157463217429,21,22.75,31,11
4.2204570692995,32,"Fls",4.72844863547158,37,5.35194235680129,20,9.45879915651826,33,30.5,37,20
