"","Cmp_percent_Short","npxG_Expected","Final_Third_Carries","Subs_Subs","Att.Pen_Touches","onxG_Team.Success..xG.","G.A","xG_Expected","CPA_Carries","Mn_per_MP_Playing.Time","np.G_minus_xG_Expected","SoT_per_90_Standard","xGplus_per__minus_90_Team.Success..xG","Dist_Standard","G_minus_xG_Expected","PPA","Cmp_percent_Total","Cmp_percent_Medium","On_minus_Off_Team.Success","Succ_Take","Cmp_percent_Long","Att_Short","PC1_diff","PC3_diff","PC4_diff","PPM_Team.Success","plus_per__minus__Team.Success","xGplus_per__minus__Team.Success..xG","plus_per__minus_90_Team.Success","onG_Team.Success","On_minus_Off_Team.Success..xG","Att.3rd_Touches","Sh_per_90_Standard","PC2_diff","Att_Take","Rec_Receiving","Nation","A_minus_xAG_Expected","TO_GCA","GCA90_GCA","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","PassLive_GCA","PassDead_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Cmp_Medium","Att_Medium","Cmp_Long","Att_Long","Ast","xAG","xA_Expected","KP","Final_Third","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Live_Touches","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Mis_Carries","Dis_Carries","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","G_per_Sh_Standard","G_per_SoT_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","unSub_Subs","onGA_Team.Success","onxGA_Team.Success..xG","player_position","Comp_going","Comp_from_to","total_diff"
"np.G_minus_xG_Expected",0,0,0,3332.74907412891,25528.3311808987,1354.22095263615,30996.1125467589,0,0,28675.8592640414,134929.385374774,0,5997.21527330798,0,0,6647.90447888095,0,0,23822.9038482592,0,0,0,0,0,4587.91720084558,0,0,0,6346.85079633297,0,27878.7511586739,5814.28887565936,0,3635.15383889102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SoT_per_90_Standard",27830.3963574095,4274.03803676691,0,4456.73452125792,16721.632005846,0,0,12679.5867510271,11833.4910242503,17383.225187304,0,151816.933834387,10397.1835555624,0,2804.32478578458,9195.05552876966,0,0,4046.6920519432,0,0,0,0,0,3841.05268491785,0,0,0,0,0,6248.28093219583,619.460741201442,6645.53561255577,0,0,0,0,0,1374.92002142645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xGplus_per__minus_90_Team.Success..xG",24401.6740306201,0,0,0,4148.23996394495,1849.94705516204,8948.34143764712,0,18344.7857681108,0,5997.21527330798,10397.1835555624,137666.688501718,3640.99472928506,7924.18023045606,914.435480571476,0,0,0,0,0,0,0,0,3930.41697795596,9526.15169972139,7046.35608241815,11967.2012684364,13376.5482970186,3604.23272697507,0,2048.98604390405,2456.54884324923,0,0,0,0,0,972.803410292289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dist_Standard",17387.9358798247,2521.53841251083,0,1407.48884676063,6024.41884516014,0,6091.02717103591,4200.6044005677,12040.2227447273,11721.0193457964,0,0,3640.99472928506,137484.982827503,1883.76102237207,5270.26091327709,0,0,3080.9815891064,0,0,0,0,0,2203.07256182488,0,0,0,0,0,2987.13632268171,654.046662033191,1789.1006971482,2544.25850365404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_minus_xG_Expected",14609.2430598144,0,0,8142.81042110271,11454.5445488887,0,0,0,10410.0041162675,9059.10405752691,0,2804.32478578458,7924.18023045606,1883.76102237207,143445.994593557,10029.9939315922,0,0,13786.9017661758,0,0,0,0,0,6619.84370181206,0,0,0,0,0,0,5133.22300300519,3779.51855446666,0,0,0,0,0,846.855663988352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPA",0,1391.92915057045,4138.16018080432,2615.22202815079,7283.11521569898,1280.47999354615,10668.5562569252,4743.16881595829,5909.04540410544,5401.18154764261,6647.90447888095,9195.05552876966,914.435480571476,5270.26091327709,10029.9939315922,136760.66169661,0,0,2296.23040697625,1675.02263505734,0,0,0,2388.19283579714,3639.45485876302,0,0,0,1870.56373924022,0,5275.62075827114,0,1588.55967443491,1506.14657670012,1833.17200754846,1114.08552198686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cmp_percent_Total",0,1975.55715443755,1406.05078477878,9342.5344233651,0,0,0,20829.5633648787,0,18726.2338775379,0,0,0,0,0,0,256923.371153602,38217.0176117236,4765.94821027445,6241.13596750595,4091.40707421982,3371.46224656619,0,0,12293.5288204913,0,0,0,0,0,0,0,0,0,3397.94262944847,3095.65563574916,0,0,1176.35962259452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cmp_percent_Medium",30667.6229554758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38217.0176117236,159867.360429485,6150.09788506659,0,0,2086.07953571243,0,0,0,0,0,0,0,0,0,0,0,0,5678.43607355274,907.00217315114,0,0,2814.10551222366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On_minus_Off_Team.Success",11551.6935140812,2797.69254989894,6681.17215892961,2590.47265018638,10434.3131615327,0,6550.86668545197,2911.17438590171,4215.42883931642,5274.11894201786,23822.9038482592,4046.6920519432,0,3080.9815891064,13786.9017661758,2296.23040697625,4765.94821027445,6150.09788506659,102969.822311863,22413.0956877208,3910.09473012295,1693.61763967178,0,0,0,13605.6231140974,33126.2136775334,0,21409.0467475322,8794.25249889979,0,5432.48321053803,3438.85734134804,0,9571.97045812263,561.476589494937,3054.21393724382,2194.98345779085,625.119239436179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succ_Take",13240.0668390629,0,0,0,17065.6036331786,0,0,0,0,0,0,0,0,0,0,1675.02263505734,6241.13596750595,0,22413.0956877208,141745.464811977,8431.85803874941,10488.3524312742,0,0,0,0,0,0,0,0,0,3548.8697477974,0,0,0,7452.9031700269,0,8635.55183398943,1294.6234048398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
