"Importance_fw","Rank_fw","Variable","Importance_mid","Rank_mid","Importance_df","Rank_df","Importance_tot","Rank_tot","Rank_Avg","Rank_Max","Rank_Min"
211839752084846,140,"Tkl.Int",398028487864642,93,124794611097002,100,919738152845516,79,103,140,79
208581194178899,141,"xA_Expected",406221108739265,91,193114196990140,69,822463969814528,94,98.75,141,69
204300687459255,142,"TklW_Tackles",589018305315078,61,53391059078064.8,155,814401943201180,95,113.25,155,61
200164994450388,143,"In_Corner",326352977210062,113,38379208961834,163,564439908284146,130,137.25,163,113
192072535368878,144,"Live_Pass",372030543650713,96,138239659728775,90,549052716541574,132,115.5,144,90
191186818192114,145,"Att",211506780767729,149,113696546642287,105,477844971698215,146,136.25,149,105
190055696519114,146,"Sh_GCA",254161874198659,137,74643521157577,132,375647885741712,158,143.25,158,132
185761919827829,147,"Comp",236076573627723,142,56352280932994.4,150,371048327483119,159,149.5,159,142
181090599042011,148,"xAG",241086882726505,141,101753888308342,114,564461056934926,129,133,148,114
180375615233256,149,"Touches_Touches",307833292291988,117,135379569826506,92,636408154659521,120,119.5,149,92
175748707012925,150,"TklW",432765795930076,89,59774578681854.8,147,834028165276923,92,119.5,150,89
175706106291034,151,"xAG_Expected",244952257432064,139,59840771411429.4,146,558025686970858,131,141.75,151,131
170356470055086,152,"Cmp_Medium",783643984314564,44,327883452062364,33,893765766093012,84,78.25,152,33
168878477675281,153,"Str_Corner",53411179636537.2,175,1142202677711.12,175,117886134872798,176,169.75,176,153
162742619846312,154,"FK_Pass",327723627917445,111,145320763599123,87,539686770727041,135,121.75,154,87
158608548802810,155,"Att_Medium",645528951160486,56,526521031399723,13,728281544947944,110,83.5,155,13
158520799520698,156,"Def_GCA",51174197906882.4,176,98238445611738,116,158994576276862,174,155.5,176,116
156200513682263,157,"CK_Pass",320118384077928,114,29330373677956.4,165,545699936532767,134,142.5,165,114
150293549596325,158,"CrsPA",224220128025602,145,93661320869117.3,119,424968739182607,152,143.5,158,119
150241323699892,159,"PKwon",358255320131118,101,29312335559580,166,358206857592977,160,146.5,166,101
